LoanID,Ally ID,RecipientID,RecipientType,LoanAmount,IssueDate,LoanType,DisbursementMeans,Status
10960,433433334644,433433334644,Ally,1433,19/01/2025 13:25:45,XIMPLE FIJO,MERCANCIA,ACTIVO
10962,433433334911,433433334911,Ally,3600,19/01/2025 13:52:12,XIMPLE FIJO,STP,ACTIVO
10964,433433339501,433433339501,Ally,680,19/01/2025 14:08:14,XIMPLE FIJO,MERCANCIA,ACTIVO
10965,433433339103,433433339103,Ally,1412,19/01/2025 14:26:16,XIMPLE OPTIMIZA,MERCANCIA,ACTIVO
10967,433433330965,433433330965,Ally,2257,19/01/2025 15:13:23,XIMPLE OPTIMIZA,MERCANCIA,CANCELADO
10976,433433330510,433433330510,Ally,1500,20/01/2025 00:00:00,XIMPLE FIJO,Cashout BBVA,ACTIVO
10990,433433330628,433433330628,Ally,1262,20/01/2025 12:48:33,XIMPLE FIJO,MERCANCIA,ACTIVO
10991,433433335638,433433335638,Ally,900,20/01/2025 12:47:16,XIMPLE OPTIMIZA,STP,ACTIVO
10997,433433330970,433433330970,Ally,2000,20/01/2025 13:04:01,XIMPLE OPTIMIZA,MERCANCIA,ACTIVO
11001,433433339014,433433339014,Ally,534,20/01/2025 14:02:50,XIMPLE FIJO,MERCANCIA,CANCELADO
11014,433433338653,433433338653,Ally,900,20/01/2025 16:35:27,XIMPLE FIJO,MERCANCIA,ACTIVO
11015,433433338969,433433338969,Ally,2405,20/01/2025 16:45:56,XIMPLE FIJO,MERCANCIA,CANCELADO
11020,433433339216,433433339216,Ally,1009,20/01/2025 17:38:25,XIMPLE FIJO,MERCANCIA,ACTIVO
11022,433433333436,433433333436,Ally,1500,20/01/2025 17:42:32,XIMPLE FIJO,STP,ACTIVO
11025,433433339163,433433339163,Ally,1839,20/01/2025 18:01:33,XIMPLE FIJO,MERCANCIA,ACTIVO
11035,433433330996,433433330996,Ally,1600,20/01/2025 18:27:47,XIMPLE OPTIMIZA,MERCANCIA,ACTIVO
11046,433433336725,433433336725,Ally,1800,21/01/2025 12:01:32,XIMPLE FIJO,STP,CANCELADO
11060,433433337286,433433337286,Ally,1100,21/01/2025 15:17:27,XIMPLE FIJO,STP,ACTIVO
11063,433433339922,433433339922,Ally,874,21/01/2025 15:36:26,XIMPLE FIJO,MERCANCIA,ACTIVO
11065,433433330967,433433330967,Ally,804,21/01/2025 15:44:22,XIMPLE FIJO,MERCANCIA,ACTIVO
11066,433433339922,433433339922,Ally,589,21/01/2025 15:45:49,XIMPLE FIJO,MERCANCIA,ACTIVO
11074,433433338668,433433338668,Ally,902,21/01/2025 16:39:49,XIMPLE FIJO,MERCANCIA,ACTIVO
11075,433433336347,433433336347,Ally,1900,21/01/2025 16:48:21,XIMPLE FIJO,STP,ACTIVO
11089,433433339014,433433339014,Ally,1749,21/01/2025 18:42:10,XIMPLE FIJO,MERCANCIA,ACTIVO
11102,433433330043,433433330043,Ally,9000,22/01/2025 11:57:00,XIMPLE FIJO,STP,ACTIVO
11116,433433330773,433433330773,Ally,640,22/01/2025 13:37:34,XIMPLE FIJO,MERCANCIA,CANCELADO
11117,433433336469,433433336469,Ally,788,22/01/2025 13:43:01,XIMPLE FIJO,MERCANCIA,CANCELADO
11119,433433333436,2383,Client,5700,22/01/2025 12:03:34,XIMPLE FIJO,STP,ACTIVO
11132,433433339262,433433339262,Ally,1200,22/01/2025 17:14:46,XIMPLE FIJO,MERCANCIA,ACTIVO
11134,433433338861,433433338861,Ally,1500,22/01/2025 12:14:12,XIMPLE FIJO,MERCANCIA,CANCELADO
11135,433433338616,433433338616,Ally,1000,22/01/2025 17:39:37,XIMPLE FIJO,MERCANCIA,ACTIVO
11140,433433330891,433433330891,Ally,1013,22/01/2025 18:07:30,XIMPLE FIJO,MERCANCIA,CANCELADO
11142,433433330566,433433330566,Ally,773,22/01/2025 18:21:53,XIMPLE OPTIMIZA,MERCANCIA,ACTIVO
11150,433433330534,433433330534,Ally,600,22/01/2025 20:12:58,XIMPLE FIJO,STP,CANCELADO
11154,433433337478,433433337478,Ally,600,23/01/2025 08:10:03,XIMPLE FIJO,STP,ACTIVO
11156,433433330946,433433330946,Ally,2000,23/01/2025 08:45:35,XIMPLE OPTIMIZA,STP,ACTIVO
11164,433433330999,433433330999,Ally,1070,23/01/2025 10:39:58,XIMPLE OPTIMIZA,MERCANCIA,ACTIVO
11169,433433330865,433433330865,Ally,1043,23/01/2025 11:40:47,XIMPLE FIJO,MERCANCIA,CANCELADO
11171,433433330927,433433330927,Ally,6000,23/01/2025 11:01:29,XIMPLE FIJO,MERCANCIA,ACTIVO
11174,433433330067,433433330067,Ally,5400,23/01/2025 12:22:38,XIMPLE FIJO,STP,ACTIVO
11210,433433330061,433433330061,Ally,1300,24/01/2025 11:10:33,XIMPLE FIJO,MERCANCIA,ACTIVO
11211,433433330861,433433330861,Ally,1500,24/01/2025 11:08:01,XIMPLE FIJO,STP,ACTIVO
11223,433433333283,433433333283,Ally,2889,24/01/2025 13:35:18,XIMPLE OPTIMIZA,MERCANCIA,ACTIVO
11227,433433334608,433433334608,Ally,900,24/01/2025 13:59:02,XIMPLE FIJO,STP,ACTIVO
11233,433433336491,433433336491,Ally,900,24/01/2025 15:36:55,XIMPLE OPTIMIZA,STP,ACTIVO
11242,433433339167,433433339167,Ally,696,24/01/2025 17:09:25,XIMPLE FIJO,MERCANCIA,CANCELADO
11249,433433339000,433433339000,Ally,617,24/01/2025 19:01:40,XIMPLE FIJO,MERCANCIA,ACTIVO
11262,433433330865,433433330865,Ally,1304,25/01/2025 11:05:22,XIMPLE OPTIMIZA,MERCANCIA,ACTIVO
11264,433433330999,433433330999,Ally,2894,25/01/2025 11:57:42,XIMPLE FIJO,MERCANCIA,ACTIVO
11274,433433330950,433433330950,Ally,1979,25/01/2025 13:13:24,XIMPLE FIJO,MERCANCIA,ACTIVO
11278,433433339123,433433339123,Ally,542,25/01/2025 13:27:09,XIMPLE OPTIMIZA,MERCANCIA,ACTIVO
11280,433433330015,433433330015,Ally,2637,25/01/2025 14:05:55,XIMPLE FIJO,MERCANCIA,ACTIVO
11282,433433330905,433433330905,Ally,1604,25/01/2025 14:19:09,XIMPLE FIJO,MERCANCIA,ACTIVO
11285,433433336847,433433336847,Ally,1800,25/01/2025 14:46:15,XIMPLE FIJO,STP,ACTIVO
11296,433433337981,433433337981,Ally,700,25/01/2025 09:12:16,XIMPLE FIJO,STP,CANCELADO
11298,433433330334,433433330334,Ally,508,25/01/2025 16:39:24,XIMPLE OPTIMIZA,MERCANCIA,ACTIVO
11301,433433330334,433433330334,Ally,513,25/01/2025 16:48:58,XIMPLE OPTIMIZA,MERCANCIA,ACTIVO
11306,433433339262,433433339262,Ally,1581,25/01/2025 17:39:02,XIMPLE FIJO,MERCANCIA,ACTIVO
11316,433433336157,433433336157,Ally,700,26/01/2025 12:45:03,XIMPLE FIJO,STP,ACTIVO
11317,433433337472,433433337472,Ally,1000,27/01/2025 00:00:00,XIMPLE FIJO,Cashout BBVA,ACTIVO
11320,433433338610,433433338610,Ally,935,26/01/2025 14:57:43,XIMPLE FIJO,MERCANCIA,ACTIVO
11325,433433333190,433433333190,Ally,560,26/01/2025 15:38:34,XIMPLE FIJO,MERCANCIA,ACTIVO
11326,433433336876,433433336876,Ally,2045,26/01/2025 15:41:01,XIMPLE FIJO,MERCANCIA,ACTIVO
11335,433433339625,433433339625,Ally,500,26/01/2025 19:31:10,XIMPLE FIJO,STP,ACTIVO
11347,433433330009,433433330009,Ally,1336,27/01/2025 12:31:17,XIMPLE OPTIMIZA,MERCANCIA,ACTIVO
11369,433433333374,189,Client,8000,27/01/2025 16:40:02,XIMPLE FIJO,STP,ACTIVO
11370,433433330032,433433330032,Ally,1172,27/01/2025 16:47:45,XIMPLE FIJO,MERCANCIA,ACTIVO
11388,433433330150,433433330150,Ally,2000,28/01/2025 10:14:16,XIMPLE FIJO,MERCANCIA,ACTIVO
11389,433433330014,433433330014,Ally,1500,28/01/2025 10:15:46,XIMPLE FIJO,MERCANCIA,ACTIVO
11391,433433338819,433433338819,Ally,941,28/01/2025 11:26:47,XIMPLE FIJO,MERCANCIA,ACTIVO
11408,433433330848,433433330848,Ally,2000,28/01/2025 13:54:49,XIMPLE FIJO,MERCANCIA,ACTIVO
11426,433433338614,433433338614,Ally,800,28/01/2025 19:05:10,XIMPLE FIJO,STP,ACTIVO
11428,433433330043,433433330043,Ally,900,28/01/2025 20:43:46,XIMPLE FIJO,STP,ACTIVO
